"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-3 0.922952650595369 7 8 "GO:0000041;GO:0006825" "transition metal ion transport" 0.939847979959561
-3 0.933734795080121 -1 6 "GO:0000059" "obsolete protein import into nucleus, docking" 0.939847979959561
-3 0.939847979959561 3 5 "GO:0000096" "sulfur amino acid metabolic process" 0.939847979959561
-3 0.83203871138538 5 37 "GO:0000160" "phosphorelay signal transduction system" 0.939847979959561
-3 0.909157462495959 2 11 "GO:0000226" "microtubule cytoskeleton organization" 0.939847979959561
-3 0.735938569204611 4 92 "GO:0001867;GO:0006956;GO:0002252;GO:0002253;GO:0050778;GO:0002684;GO:0048584;GO:0050776;GO:0002682;GO:0048583" "regulation of response to stimulus" 0.939847979959561
-3 0.680234688970579 2 136 "GO:0005975" "carbohydrate metabolic process" 0.939847979959561
-3 0.905006096153501 4 12 "GO:0006006" "glucose metabolic process" 0.939847979959561
-3 0.933734795080121 2 6 "GO:0006066" "alcohol metabolic process" 0.939847979959561
-3 0.806735709361296 3 49 "GO:0006091" "generation of precursor metabolites and energy" 0.939847979959561
-3 0.922952650595369 3 8 "GO:0006094;GO:0019319;GO:0046364" "monosaccharide biosynthetic process" 0.939847979959561
-3 0.839006620164462 5 34 "GO:0006096;GO:0006090;GO:0006757;GO:0016052;GO:0006165;GO:0046031;GO:0009132;GO:0046939;GO:0009179;GO:0009135;GO:0009185" "nucleoside diphosphate metabolic process" 0.939847979959561
-3 0.913509487407073 3 10 "GO:0006099" "tricarboxylic acid cycle" 0.939847979959561
-3 0.928140559335674 -1 7 "GO:0006100;GO:0006108" "malate metabolic process" 0.939847979959561
-3 0.557956897623148 -1 267 "GO:0006118" "obsolete electron transport" 0.939847979959561
2 0.641840922458933 2 531 "GO:0006139;GO:0046483" "heterocycle metabolic process" 0.939847979959561
-3 0.909157462495959 3 11 "GO:0006183;GO:0046039;GO:1901070;GO:1901068;GO:0006228;GO:0009209;GO:0009220;GO:0046051;GO:0009148;GO:0009208;GO:0006221;GO:0009218;GO:0006220;GO:0009147;GO:0006241;GO:0046036" "guanosine-containing compound biosynthetic process" 0.939847979959561
-3 0.670112399869504 2 145 "GO:0006259" "DNA metabolic process" 0.939847979959561
-3 0.839006620164462 2 34 "GO:0006260" "DNA replication" 0.939847979959561
-3 0.918094083683511 2 9 "GO:0006270" "DNA replication initiation" 0.939847979959561
-3 0.928140559335674 2 7 "GO:0006278;GO:0071897" "RNA-dependent DNA biosynthetic process" 0.939847979959561
-3 0.733129115251278 3 94 "GO:0006281;GO:0006974" "DNA repair" 0.939847979959561
-3 0.897209359212351 2 14 "GO:0006289" "nucleotide-excision repair" 0.939847979959561
-3 0.864877853827991 3 24 "GO:0006306;GO:0006305;GO:0043414;GO:0044728;GO:0006304;GO:0032259" "DNA modification" 0.939847979959561
-3 0.883181982421429 2 18 "GO:0006310" "DNA recombination" 0.939847979959561
-3 0.687187774927075 3 130 "GO:0006325" "chromatin organization" 0.939847979959561
-3 0.889969130654625 2 16 "GO:0006333" "chromatin assembly or disassembly" 0.939847979959561
-3 0.864877853827991 5 24 "GO:0006334;GO:0034728;GO:0065004;GO:0071824" "protein-DNA complex assembly" 0.939847979959561
-3 0.909157462495959 7 11 "GO:0006342;GO:0016458;GO:0045814;GO:0045892;GO:0097549;GO:0010629;GO:1903507;GO:2000113;GO:0034401;GO:0010605;GO:1902679;GO:0010558;GO:0031327;GO:0009892;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0051172" "negative regulation of metabolic process" 0.939847979959561
-3 0.886524125470359 2 17 "GO:0006352" "DNA-templated transcription, initiation" 0.939847979959561
271 3.23080810163732e-21 2 9 "GO:0006354" "DNA-templated transcription, elongation" 7.81855560596231e-19
